Timestamp,Yaw_Angle(degrees),Hex_Byte0,Hex_Byte1,Hex_Byte2,Hex_Byte3,Hex_Byte4,Hex_Byte5,Hex_All
2025-10-25 14:21:58,81.81,0xff,0x45,0xff,0xe7,0x1f,0xf5,"ff 45 ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x45,0xff,0xe7,0x1f,0xf5,"ff 45 ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x45,0xff,0xe7,0x1f,0xf5,"ff 45 ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x45,0xff,0xe7,0x1f,0xf5,"ff 45 ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x45,0xff,0xe7,0x1f,0xf5,"ff 45 ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x45,0xff,0xe7,0x1f,0xf5,"ff 45 ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x45,0xff,0xe7,0x1f,0xf5,"ff 45 ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x45,0xff,0xe7,0x1f,0xf5,"ff 45 ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x45,0xff,0xe7,0x1f,0xf5,"ff 45 ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x45,0xff,0xe7,0x1f,0xf5,"ff 45 ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x45,0xff,0xe7,0x1f,0xf5,"ff 45 ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.81,0xff,0x4b,0xff,0xe7,0x1f,0xf5,"ff 4b ff e7 1f f5 00 00"
2025-10-25 14:21:58,81.75,0xff,0x4b,0xff,0xe7,0x1f,0xef,"ff 4b ff e7 1f ef 00 00"
2025-10-25 14:21:58,81.75,0xff,0x4b,0xff,0xe7,0x1f,0xef,"ff 4b ff e7 1f ef 00 00"
